Name,Height,Weight,Age,PB_100m,PB_LJ,PB_SP,PB_HJ,PB_400m,PB_110m_H,PB_DT,PB_PV,PB_JT,PB_1500m
Damian Warner,184,83,381,10.12,8.28,15.34,2.09,46.54,13.27,50.26,4.9,64.67,264.7
Kevin Mayer,185,82,353,10.5,7.8,17.08,2.09,48.26,13.54,52.38,5.45,73.09,258
Ashley Moloney,,,256,10.36,7.72,14.6,2.11,45.82,14.09,45.11,5.05,57.77,287.8
Garrett Scantling,191,95,338,10.53,7.56,16.2,2.08,49.04,13.88,48.17,5.15,69.37,284.3
Pierce LePage,204,88,306,10.3,7.8,14.58,2.09,47.35,14.05,50.28,5.25,58.24,271.9
Zach Ziemek,191,,341,10.57,7.73,14.82,2.14,49.04,14.29,50.9,5.55,60.92,280.1
Lindon Victor,185,82,341,10.56,7.51,16.52,2.09,48.24,14.45,55.87,4.92,71.56,283.8
Ilya Shkurenyov,191,82,366,10.89,7.78,14.71,2.12,47.88,13.95,48.75,5.4,63.58,265
Jorge Ureña,178,75,333,10.76,7.54,14.36,2.08,48.36,13.95,40.48,5,64.02,264.1
Steve Bastien,,,329,10.52,7.65,14.47,2.08,47.49,14.24,44.58,4.95,61.2,262.2
Johannes Erm,197,88,280,10.73,7.98,14.69,2.03,47.4,14.19,46.46,5.05,59.6,269
Pawe? Wiesio?ek,194,82,359,10.74,7.61,15.26,2.12,48.55,14.28,50.3,5,61.36,271.3
Vital Zhuk,,,298,10.94,7.11,15.66,2,47.81,14.48,48.64,4.9,66.19,270.36
Kai Kazmirek,190,88,366,10.62,7.69,14.82,2.15,46.75,14.05,45.83,5.2,64.6,271.25
Maicel Uibo,188,84,343,10.99,7.82,15.12,2.18,50.18,14.43,49.14,5.5,65.8,265.5
Adam Helcelet,190,92,357,10.81,7.48,15.55,2.07,48.66,14.18,50,5,71.56,274.41
Ji?í Sýkora,190,91,318,10.86,7.64,15.22,2.02,48.8,14.15,50.67,4.85,66.91,276.5
Felipe dos Santos,180,83,324,10.37,7.64,14.22,2.07,47.73,13.74,43.67,4.95,59.82,279.8
Martin Roe ,187,86,352,10.79,7.5,15.44,1.96,49,15.15,49.19,4.6,66.72,272.3
